symbol,shares
LXCHEM,277914693
LYKALABS,36152711
M&M,1200762264
M&MFIN,1389583700
MAANALU,59984864
MACPOWER,10004160
MADHAVBAUG,10513450
MADHUSUDAN,12900000
MAGNUM,68411317
MAGSON,7850000
MAHEPC,27950753
MAHESHWARI,29597200
MAHICKRA,8122160
MAHLIFE,213584349
MAHLOG,99222483
MAHSEAMLES,133999252
MAITHANALL,29111550
MAITREYA,6776000
MALLCOM,6240000
MAMATA,24607800
MANAKCOAT,106634050
MANAKSIA,65534050
MANALIPETC,171999229
MANAPPURAM,939336102
MANAV,13160000
MANBA,50239410
MANGALAM,15828248
MANGLMCEM,27497298
MANINDS,75009571
MANINFRA,403666505
MANKIND,412995978
MANOMAY,18048735
MANORG,8564440
MANPASAND,114462000
MANYAVAR,242977245
MAPMYINDIA,54761056
MARALOVER,41508000
MARATHON,67444551
MARC,17313383
MARCO,18699000
MARICO,1296176456
MARINE,132665250
MARKOLINES,22040920
MARKSANS,453163746
MARSHALL,23901217
MARSONS,172100000
MARUTI,314402574
MASON,17572500
MASTEK,31002407
MASTER,4000000
MATRIMONY,20673393
MAWANASUG,39116864
MAXESTATES,163513410
MAXHEALTH,973276486
MAXIND,56320678
MAXPOSURE,22740950
MAYURUNIQ,43452600
MAZDA,20025000
MAZDOCK,403380000
MBAPL,438134700
MBECL,33333334
MBEL,57160718
MBLINFRA,155879256
MCL,27142800
MCLEODRUSS,104455735
MCLOUD,589067120
MCON,7329090
MDL,17740140
MEDANTA,268718832
MEDIASSIST,74701842
MEDICAMEQ,13562815
MEDICO,82984000
MEDIORG,11700000
MEDPLUS,120087613
MEGAFLEX,12131025
MEGATHERM,18840729
MELSTAR,16925139
MENONBE,56040000
MEP,183446051
METROBRAND,272592741
METROPOLIS,207387568
MFSL,343298749
MGEL,329555600
MGL,98777778
MHHL,18235900
MHLXMIRU,10620275
MICEL,241011560
MICROPRO,14299400
MIDHANI,187340000
MIDWESTLTD,36160816
MINDACORP,235360911
MINDPOOL,4237500
MINDTECK,31954221
MIRZAINT,138201900
MITCON,13438501
MITTAL,443900775
MMFL,48281600
MMP,25402613
MMTC,1500000000
MODIRUBBER,25040532
MODIS,19591200
MODTHREAD,34775160
MOIL,203485211
MOL,254314211
MOLDTKPAC,33228914
MONARCH,79308338
MONEYBOXX,69809200
MONTECARLO,20732064
MOREPENLAB,547953699
MOS,249355860
MOSCHIP,194850546
MOTHERSON,10531231231
MOTILALOFS,602146704
MOTOGENFIN,38727190
MPHASIS,190817050
MPSLTD,16965932
MRF,4241143
MRPL,1752598777
MSPL,566796645
MSTCLTD,70400000
MTARTECH,30759591
MTEDUCARE,72228054
MTNL,630000000
MUFIN,198162188
MUKANDLTD,144495563
MUKKA,300000000
MUKTAARTS,22585200
MUNJALAU,100000000
MUTHOOTCAP,16447533
MUTHOOTFIN,401468476
MUTHOOTMF,167766677
MVKAGRO,15490000
MVL,601243008
MWL,297006740
NACLIND,234243330
NAGAFERT,598065003
NAHARINDUS,43205581
NAM-INDIA,639781566
NAMAN,10548000
NARMADA,75872798
NATCAPSUQ,10411154
NATCOPHARM,179109870
NATIONALUM,1836631787
NAUKRI,647737579
NAVA,283312597
NAVINFLUOR,51291959
NAVKARCORP,150519181
NAVNETEDUL,221213181
NAZARA,384696024
NBCC,2700000000
NBIFIN,2954850
NCC,627846588
NCLIND,45232790
NDGL,1000000
NDL,1441471680
NDLVENTURE,33671621
NDRAUTO,23785304
NDTV,112824717
NECCLTD,104500000
NECLIFE,194260970
NELCO,22818400
NEOGEN,27381674
NEPHROCARE,16486400
NEPHROPLUS,100559014
NESCO,70459960
NESTLEIND,1928314320
NETWEB,59445906
NETWORK18,1542000018
NEUEON,565445520
NEULANDLAB,12829889
NEWGEN,141351724
NEWJAISA,35305800
NEXTMEDIA,66892908
NFL,490578400
NGIL,17538052
NH,203099835
NHPC,10045034805
NIACL,1648000000
NIBE,15501773
NIITLTD,136842103
NIITMTS,137814443
NILAINFRA,393889200
NILASPACES,393889200
NILKAMAL,14922525
NIMBSPROJ,19318735
